time,SO4_sfc_diff,SO2_sfc_diff,DMS_sfc_diff,HMS_sfc_diff,SS_sfc_diff,SF_sfc_diff,NK_sfc_diff
2022-07-22 22:00:00,1.3776437604693592e-11,4.311913691154928e-11,6.1062724241294665e-12,1.4623372670756292e-13,-8.547072452546172e-15,5.370970317452203e-12,-62874629.6832962
2022-07-22 23:00:00,1.3747118647378413e-11,4.094187142150344e-11,7.63172902249169e-12,1.389228854976054e-13,-8.567355914713286e-15,5.477545986580993e-12,-50576407.52679443
2022-07-23 00:00:00,1.3749624572996922e-11,3.88422200734583e-11,8.519363540125965e-12,1.2588544935088797e-13,-8.585127303806331e-15,5.546110223549011e-12,-39801645.09825134
2022-07-23 01:00:00,1.4105448605035753e-11,3.768451758081253e-11,9.138164015083991e-12,1.1921627062307985e-13,-8.553463038717508e-15,5.8519647453698205e-12,-33355003.82260132
2022-07-23 02:00:00,1.4702181355515193e-11,3.672071224727153e-11,9.398673780857543e-12,1.1039392221580108e-13,-8.52705064807953e-15,6.45054775350834e-12,-38519295.802352905
2022-07-23 03:00:00,1.547441392346297e-11,3.5745664665117097e-11,9.613746148102214e-12,1.0174400837357864e-13,-8.517054012488727e-15,7.291565204310742e-12,-40093805.23799133
2022-07-23 04:00:00,1.6359818559568317e-11,3.4995554209878715e-11,1.0358675033796197e-11,9.675664699060563e-14,-8.663576263586371e-15,8.262988690352866e-12,-39757148.64504242
2022-07-23 05:00:00,1.718680180732412e-11,3.428654561593084e-11,1.1624527203883405e-11,9.093231663734378e-14,-8.876898595540707e-15,9.178209065765002e-12,-32902831.824188232
2022-07-23 06:00:00,1.7700138887467878e-11,3.3002182235339445e-11,1.4356216505422133e-11,8.323948927438891e-14,-9.138110154080058e-15,9.879178565353288e-12,-22166963.200416565
2022-07-23 07:00:00,1.812611817125256e-11,3.16879022672843e-11,1.9398047723719032e-11,8.025720805658518e-14,-9.546126704596977e-15,1.0400028444802546e-11,-13898004.409477234
2022-07-23 08:00:00,1.8374514536279304e-11,3.037203383835039e-11,2.6991744300492936e-11,7.89397305032608e-14,-9.987388158645539e-15,1.0688048866780904e-11,3727306.192001343
2022-07-23 09:00:00,1.8605493038546517e-11,2.932667637513857e-11,3.5951530243865905e-11,8.057694310402778e-14,-1.070862129024326e-14,1.0763470298129305e-11,3210376.7980499268
2022-07-23 10:00:00,1.8842290402889976e-11,3.280740039231376e-11,4.03276239913075e-11,8.649756940845444e-14,-1.1480420577768964e-14,1.0726860315423556e-11,-46965182.910598755
2022-07-23 11:00:00,1.908296933701732e-11,4.6374824186058986e-11,3.288315343992607e-11,9.380302663716854e-14,-1.2408944318669648e-14,1.0749723543717465e-11,-48667297.764190674
2022-07-23 12:00:00,1.9381770556065875e-11,5.4632071286075875e-11,3.154546692909956e-11,1.0209440904967795e-13,-1.316721153873135e-14,1.0920667092774771e-11,2757874.23046875
2022-07-23 13:00:00,1.967664293332018e-11,6.298526239022651e-11,1.9900651693661188e-11,1.2970765590896603e-13,-1.1761177323131716e-14,1.1096776084051624e-11,39606137.18244934
