time,20.0–26.0N,26.0–30.0N,30.0–34.2N
2022-07-30 13:00:00,1.6624719983130536e-12,2.5200667173408285e-12,1.769946135870088e-11
2022-07-30 14:00:00,1.7064583605655045e-12,2.3205854160014443e-12,1.68217057909096e-11
2022-07-30 15:00:00,1.7434358495700461e-12,2.1483407195628115e-12,1.5461944335110142e-11
2022-07-30 16:00:00,1.7654708588854467e-12,2.011114917969621e-12,1.3694358574966165e-11
2022-07-30 17:00:00,1.7792959439113238e-12,1.943614561767621e-12,1.1974229985217603e-11
2022-07-30 18:00:00,1.793289701128242e-12,1.9612412313232983e-12,1.0391639423005339e-11
2022-07-30 19:00:00,1.8068310303673723e-12,2.0233999597429044e-12,9.030743048924057e-12
2022-07-30 20:00:00,1.833307236359528e-12,2.0940959059568933e-12,7.977960176861635e-12
2022-07-30 21:00:00,1.908702837414172e-12,2.1900083130101573e-12,7.567423502660528e-12
2022-07-30 22:00:00,2.0168871650135824e-12,2.345773878800297e-12,7.60014896737053e-12
2022-07-30 23:00:00,2.151629922508688e-12,2.5940585313651487e-12,7.747767066612398e-12
2022-07-31 00:00:00,2.396410164826469e-12,2.997617962713044e-12,7.914710707967425e-12
2022-07-31 01:00:00,2.7420929432612873e-12,3.5746796132483497e-12,8.096997605956379e-12
2022-07-31 02:00:00,3.076581009217236e-12,4.198736092070557e-12,8.322069925270409e-12
2022-07-31 03:00:00,3.391287356884587e-12,4.708695772336329e-12,8.417345265981783e-12
2022-07-31 04:00:00,3.6988508914538234e-12,5.1483649137582e-12,8.350037809875635e-12
2022-07-31 05:00:00,4.085158467667965e-12,5.586337762221409e-12,8.17697389727094e-12
2022-07-31 06:00:00,4.597544716469003e-12,6.004211162627211e-12,7.994237149522445e-12
2022-07-31 07:00:00,5.183664087380728e-12,6.379326639454975e-12,7.807665994884756e-12
2022-07-31 08:00:00,5.814735815038043e-12,6.674885122380241e-12,7.615472761837312e-12
2022-07-31 09:00:00,6.4583339258827276e-12,6.842867443196684e-12,7.752111597827788e-12
2022-07-31 10:00:00,7.129278440061093e-12,6.853708602494447e-12,8.102867271322085e-12
2022-07-31 11:00:00,7.781370905398266e-12,6.808971058015025e-12,8.430709076978894e-12
2022-07-31 12:00:00,8.617020869097163e-12,6.980210439985483e-12,8.860378268187509e-12
2022-07-31 13:00:00,9.70826480818275e-12,7.360759508172485e-12,9.351449945924722e-12
2022-07-31 14:00:00,1.0997033114610534e-11,7.83948834337646e-12,9.794589038011853e-12
2022-07-31 15:00:00,1.2720944410505282e-11,8.507351135348748e-12,1.0204501426183788e-11
2022-07-31 16:00:00,1.461901238490751e-11,9.306388263786355e-12,1.0606666387736452e-11
2022-07-31 17:00:00,1.6205484055180607e-11,9.993730029081918e-12,1.0994016805366881e-11
2022-07-31 18:00:00,1.7426483638670917e-11,1.0702790189486555e-11,1.1194113539247176e-11
2022-07-31 19:00:00,1.847094643788221e-11,1.1345510833232737e-11,1.1234941630666192e-11
2022-07-31 20:00:00,1.949267439515896e-11,1.1872371188698347e-11,1.121577665649389e-11
2022-07-31 21:00:00,2.0344454747240835e-11,1.2474516022607784e-11,1.1123161128075255e-11
2022-07-31 22:00:00,2.0831287161941663e-11,1.3076894760283287e-11,1.1075601022319363e-11
2022-07-31 23:00:00,2.1082701072475812e-11,1.3450798085736404e-11,1.1136496167221924e-11
2022-08-01 00:00:00,2.1144845644921035e-11,1.3482430609832154e-11,1.1270721539849138e-11
2022-08-01 01:00:00,2.1137856374123523e-11,1.3399821213508629e-11,1.143347616754628e-11
2022-08-01 02:00:00,2.1177507772433224e-11,1.3396911027642884e-11,1.1600476212320045e-11
