time,SO4_UT14-16km_diff,SO2_UT14-16km_diff,DMS_UT14-16km_diff,HMS_UT14-16km_diff,SS_UT14-16km_diff,SF_UT14-16km_diff,NK_UT14-16km_diff
2022-07-27 22:00:00,3.1119109140999502e-12,6.985566562679331e-13,9.851862708708536e-13,1.3740134371986402e-14,-8.82062164426721e-15,3.4269734977697683e-12,6349450392.166077
2022-07-27 23:00:00,3.104761848162032e-12,7.896103574548991e-13,9.767370101791713e-13,1.3771892267623613e-14,-9.00886621317139e-15,3.427798665025253e-12,8777184227.97168
2022-07-28 00:00:00,3.098678623155539e-12,8.858505328923065e-13,9.71994275758245e-13,1.3765666951700841e-14,-9.273496374310785e-15,3.430798006736769e-12,12546276777.978836
2022-07-28 01:00:00,3.094410136819039e-12,9.826592766402074e-13,9.707950527203448e-13,1.3737452336429036e-14,-9.590559919818777e-15,3.4352705710012773e-12,17191379648.51717
2022-07-28 02:00:00,3.094322756694523e-12,1.0779394582328727e-12,9.593653732465287e-13,1.3730319806906567e-14,-9.91543245219505e-15,3.441679082601768e-12,22996851176.236237
2022-07-28 03:00:00,3.0968455767273146e-12,1.178004905957851e-12,9.443587680270008e-13,1.3711199948004585e-14,-1.0229760897931405e-14,3.448705765868002e-12,29916093170.315342
2022-07-28 04:00:00,3.1020895561916217e-12,1.28238321285633e-12,9.178463040125288e-13,1.3694629328863498e-14,-1.053273694780476e-14,3.455605502612372e-12,38091414563.8227
2022-07-28 05:00:00,3.1107069686205065e-12,1.377995064988616e-12,8.686743313031924e-13,1.3716507851251089e-14,-1.0766100780306305e-14,3.46398690187046e-12,46960381188.52586
2022-07-28 06:00:00,3.122175587332233e-12,1.4545535249776535e-12,8.181101936266471e-13,1.3727065403982233e-14,-1.0941497300973486e-14,3.4749236978038395e-12,54592835742.74319
2022-07-28 07:00:00,3.133089430583258e-12,1.5073699087863601e-12,7.892226301608092e-13,1.3731398533450964e-14,-1.1086792221300832e-14,3.4845643084310048e-12,58645997734.650635
2022-07-28 08:00:00,3.1395889050801945e-12,1.537130021327274e-12,7.79319756274006e-13,1.3757073322398414e-14,-1.1221495947248414e-14,3.4904883510341226e-12,58200144276.17717
