time,SO4_UT14-16km_diff,SO2_UT14-16km_diff,DMS_UT14-16km_diff,HMS_UT14-16km_diff,SS_UT14-16km_diff,SF_UT14-16km_diff,NK_UT14-16km_diff
2022-07-26 21:00:00,3.365301936882616e-12,5.002886805321116e-13,4.6065910598205175e-14,1.341278357410896e-14,-8.336694741557468e-15,3.586428963396803e-12,3787984429.1833954
2022-07-26 22:00:00,3.3721977254063444e-12,5.07569512621685e-13,3.9861053759185094e-14,1.3469041210063973e-14,-8.343161531039349e-15,3.5951563954520137e-12,3878780484.199333
2022-07-26 23:00:00,3.3795563338896847e-12,5.155914516816944e-13,3.2657530280553635e-14,1.3518754351475915e-14,-8.341204086825897e-15,3.60386321817098e-12,3999921106.7940826
2022-07-27 00:00:00,3.383654734564671e-12,5.23168114964253e-13,2.7478881790437888e-14,1.354796077659758e-14,-8.342266459458417e-15,3.6096071749355554e-12,4092698661.405445
2022-07-27 01:00:00,3.3846675164590994e-12,5.311006506706116e-13,2.44024994890064e-14,1.356152436334504e-14,-8.339974587467427e-15,3.613255406994219e-12,4163456869.1155167
2022-07-27 02:00:00,3.3851270544522516e-12,5.398379871346771e-13,2.2453219519510984e-14,1.3576632613101867e-14,-8.343694493114197e-15,3.615295975441707e-12,4253977687.9678154
2022-07-27 03:00:00,3.3823652081606157e-12,5.490222720595899e-13,2.1704052465932408e-14,1.3584095144673737e-14,-8.333522709574134e-15,3.6144433413212037e-12,4360313814.312103
2022-07-27 04:00:00,3.3766743467762187e-12,5.589623910317896e-13,2.246375426858375e-14,1.3599685846164127e-14,-8.314483231189306e-15,3.610186737746593e-12,4534675436.224209
2022-07-27 05:00:00,3.3707244877895526e-12,5.704061873711858e-13,2.5266333658547697e-14,1.3632190450425072e-14,-8.294235594780483e-15,3.6056740784693884e-12,4874772823.848797
2022-07-27 06:00:00,3.363008317262022e-12,5.832906633138987e-13,3.2395258276441235e-14,1.3681771737306246e-14,-8.266354811311419e-15,3.5964072757922844e-12,5436528432.03714
2022-07-27 07:00:00,3.352103370100826e-12,5.984217179833201e-13,4.274269469947279e-14,1.3739071196331093e-14,-8.229432657517112e-15,3.5833953755869703e-12,6098183224.050213
2022-07-27 08:00:00,3.3369539989672756e-12,6.217518481557224e-13,5.926894133133684e-14,1.3762380836649099e-14,-8.204315395223143e-15,3.5680652630689882e-12,6667501938.07201
2022-07-27 09:00:00,3.3167350734983742e-12,6.480280591697191e-13,8.447535673412628e-14,1.3730490910033962e-14,-8.193059644640975e-15,3.5523770117702233e-12,6970724206.810013
2022-07-27 10:00:00,3.2927632908800475e-12,6.726550457907705e-13,1.153803569411439e-13,1.3680589912816108e-14,-8.178868632382353e-15,3.5348070051570533e-12,7062044707.775482
2022-07-27 11:00:00,3.267109440433232e-12,6.938406204951774e-13,1.5641838890351808e-13,1.3635052245431958e-14,-8.178353477190553e-15,3.5156041909673106e-12,7043645477.487991
2022-07-27 12:00:00,3.2462695458185715e-12,6.998246535014054e-13,1.9322211070517578e-13,1.3598274669987728e-14,-8.172909449626764e-15,3.501178875028354e-12,6866156015.90332
2022-07-27 13:00:00,3.228553195690224e-12,6.932997071990487e-13,2.2504231241921167e-13,1.3568573189383728e-14,-8.158197475864125e-15,3.4889597424794366e-12,6619085524.452301
2022-07-27 14:00:00,3.2098892013421927e-12,6.829787086278844e-13,2.669931020013332e-13,1.3552106104602693e-14,-8.151139188120404e-15,3.475992861856609e-12,6394756726.509209
2022-07-27 15:00:00,3.198504875447553e-12,6.651986537810037e-13,3.197201229314298e-13,1.3576791099366366e-14,-8.162516502516023e-15,3.470722927810868e-12,6142766219.438408
2022-07-27 16:00:00,3.192010399696717e-12,6.430836028760684e-13,3.905439358221708e-13,1.3648775746211169e-14,-8.206722728673059e-15,3.4695415828575178e-12,5916028304.502686
2022-07-27 17:00:00,3.1842864835864667e-12,6.251490880296913e-13,4.931301103140726e-13,1.3710166941729509e-14,-8.256254884834341e-15,3.469526887056656e-12,5741035890.756268
2022-07-27 18:00:00,3.177044806567784e-12,6.066935992862481e-13,6.197506659498552e-13,1.3766413943239126e-14,-8.323762422409923e-15,3.4675887690067245e-12,5543044726.176903
2022-07-27 19:00:00,3.1688656980792106e-12,5.849862628770253e-13,7.537504343838974e-13,1.3804401557193471e-14,-8.418795401502533e-15,3.4639526180577994e-12,5366062979.550217
2022-07-27 20:00:00,3.160090185923899e-12,5.765882730661916e-13,8.835853601565952e-13,1.3834194376169211e-14,-8.517767393250496e-15,3.4603089505281153e-12,5295607659.221195
2022-07-27 21:00:00,3.1504631780084657e-12,6.164019356237209e-13,9.485835779778036e-13,1.386632256344673e-14,-8.683350775174948e-15,3.456289519518949e-12,5406704200.621323
2022-07-27 22:00:00,3.142224172610563e-12,6.927576140551674e-13,9.639366194819576e-13,1.389055960655511e-14,-8.883663597550788e-15,3.4549594403015498e-12,6255868606.437729
2022-07-27 23:00:00,3.1371274500857838e-12,7.816291231674327e-13,9.556548994132326e-13,1.3926166877119439e-14,-9.07167640908858e-15,3.457233460504972e-12,8631882510.503757
